stops,population,past_arrests,precinct,ethnicity,crime
14,4251,109,70,Hispanic,Property
4,2612,60,70,White,Property
131,100628,1438,70,Black,Drug
4,4251,57,70,Hispanic,Drug
0,2612,55,70,White,Drug
307,16282,247,71,Black,Violent
196,39395,264,71,Hispanic,Violent
199,100927,371,71,White,Violent
522,16282,114,71,Black,Weapons
344,39395,113,71,Hispanic,Weapons
259,100927,94,71,White,Weapons
145,16282,141,71,Black,Property
288,39395,146,71,Hispanic,Property
341,100927,102,71,White,Property
60,16282,583,71,Black,Drug
138,39395,326,71,Hispanic,Drug
123,100927,497,71,White,Drug
127,20583,236,72,Black,Violent
444,60782,856,72,Hispanic,Violent
63,38275,128,72,White,Violent
332,20583,81,72,Black,Weapons
841,60782,287,72,Hispanic,Weapons
96,38275,50,72,White,Weapons
206,20583,99,72,Black,Property
1054,60782,404,72,Hispanic,Property
197,38275,125,72,White,Property
37,20583,374,72,Black,Drug
128,60782,619,72,Hispanic,Drug
35,38275,135,72,White,Drug
858,24964,1067,73,Black,Violent
176,16754,282,73,Hispanic,Violent
135,90725,449,73,White,Violent
982,24964,527,73,Black,Weapons
160,16754,179,73,Hispanic,Weapons
136,90725,137,73,White,Weapons
287,24964,517,73,Black,Property
112,16754,183,73,Hispanic,Property
216,90725,344,73,White,Property
365,24964,1357,73,Black,Drug
73,16754,319,73,Hispanic,Drug
150,90725,497,73,White,Drug
90,2479,101,74,Black,Violent
55,9446,111,74,Hispanic,Violent
226,151366,500,74,White,Violent
59,2479,33,74,Black,Weapons
60,9446,21,74,Hispanic,Weapons
213,151366,195,74,White,Weapons
33,2479,205,74,Black,Property
72,9446,82,74,Hispanic,Property
288,151366,487,74,White,Property
15,2479,60,74,Black,Drug
47,9446,68,74,Hispanic,Drug
169,151366,311,74,White,Drug
3,1028,5,75,Black,Violent
5,3233,21,75,Hispanic,Violent
111,61692,181,75,White,Violent
2,1028,2,75,Black,Weapons
6,3233,9,75,Hispanic,Weapons
48,61692,38,75,White,Weapons
2,1028,6,75,Black,Property
7,3233,10,75,Hispanic,Property
115,61692,61,75,White,Property
0,1028,3,75,Black,Drug
2,3233,4,75,Hispanic,Drug
21,61692,32,75,White,Drug
